src_port,dst_port,protocol,flow_duration,total_pkts,total_bytes,packet_rate,byte_rate,fwd_pkts,fwd_bytes,avg_pkt_size,min_pkt_size,max_pkt_size,tcp_flags,iat_mean,Label
8080,22,UDP,870.91,11,11061,12.63,12700.35,6,6033,1005.61,76,1233,2,79.17,BENIGN
62981,21,TCP,1434.03,48,11137,33.47,7766.23,24,5568,232.04,50,500,24,6.08,BruteForce
49311,5594,TCP,31.74,2,93,63.0,2929.47,2,93,46.64,40,60,0,15.87,PortScan
443,22,TCP,569.79,4,2583,7.02,4533.2,3,1937,645.94,66,838,16,142.45,BENIGN
11716,443,TCP,3113.15,1947,125172,625.41,40207.56,1947,125172,64.29,40,120,2,0.54,DDoS
28347,443,TCP,4075.16,1878,96492,460.84,23678.07,1878,96492,51.38,40,120,2,0.54,DDoS
443,22,UDP,1213.97,25,22119,20.59,18220.18,13,11501,884.77,50,1224,16,48.56,BENIGN
61782,3389,TCP,1140.87,49,18848,42.95,16520.72,24,9424,384.67,50,500,24,12.0,BruteForce
47738,3389,TCP,979.02,97,18147,99.08,18535.87,48,9073,187.09,50,500,24,8.44,BruteForce
26105,21,TCP,846.46,26,8116,30.72,9588.17,13,4058,312.19,50,500,24,24.09,BruteForce
22055,9829,TCP,32.63,1,42,30.64,1286.82,1,42,42.76,40,60,0,32.63,PortScan
15782,245,TCP,24.33,2,112,82.16,4600.91,2,112,56.47,40,60,1,12.17,PortScan
44024,21,TCP,639.94,92,27711,143.76,43302.41,46,13855,301.21,50,500,24,12.75,BruteForce
34321,80,TCP,1559.8,33,11936,21.16,7652.22,15,5425,361.71,98,460,18,47.27,BENIGN
53,443,TCP,1352.05,43,30493,31.8,22553.01,20,14183,709.16,92,1077,2,31.44,BENIGN
15431,1903,TCP,28.09,1,41,35.58,1458.91,1,41,41.01,40,60,2,28.09,PortScan
27705,7605,TCP,18.76,1,49,53.28,2610.76,1,49,49.78,40,60,0,18.76,PortScan
53,80,UDP,1367.04,37,9670,27.07,7073.62,15,3920,261.36,48,414,2,36.95,BENIGN
37658,372,TCP,34.02,2,111,58.77,3261.77,2,111,55.6,40,60,1,17.01,PortScan
80,8080,UDP,752.89,45,30689,59.77,40761.13,22,15003,682.0,61,1044,18,16.73,BENIGN
43622,3389,TCP,400.47,48,10840,119.86,27068.2,24,5420,225.85,50,500,24,20.64,BruteForce
13094,21,TCP,396.13,48,7348,121.17,18549.61,24,3674,153.09,50,500,24,7.86,BruteForce
80,80,TCP,2507.24,31,28568,12.36,11394.14,15,13823,921.56,88,1135,2,80.88,BENIGN
443,21,TCP,2117.4,45,15783,21.25,7453.91,19,6663,350.73,78,519,24,47.05,BENIGN
21249,22,TCP,1418.09,61,20372,43.02,14365.82,30,10186,333.98,50,500,24,9.17,BruteForce
80,53,TCP,194.53,26,17869,133.65,91851.09,15,10309,687.3,53,872,2,7.48,BENIGN
443,22,TCP,1652.15,37,23147,22.39,14010.18,19,11886,625.6,50,828,16,44.65,BENIGN
52035,5930,TCP,25.0,1,59,39.98,2358.7,1,59,59.77,40,60,1,25.0,PortScan
80,22,UDP,2003.56,47,27018,23.46,13484.91,28,16096,574.86,59,717,18,42.63,BENIGN
53,8080,TCP,1294.36,20,21901,15.45,16920.17,10,10950,1095.1,56,1701,2,64.72,BENIGN
4948,443,TCP,4681.15,4985,345315,1064.91,73767.11,4985,345315,69.27,40,120,2,0.55,DDoS
25513,443,UDP,713.08,10,9341,14.02,13099.39,5,4670,934.17,71,1162,18,71.31,BENIGN
26092,443,TCP,2440.01,1756,109967,719.67,45068.34,1756,109967,62.62,40,120,2,0.69,DDoS
36492,443,TCP,3622.77,2147,106070,592.64,29278.68,2147,106070,49.4,40,120,2,0.33,DDoS
80,22,UDP,453.05,15,10867,33.11,23985.54,9,6520,724.53,91,1020,18,30.2,BENIGN
53,22,TCP,4438.6,12,8307,2.7,1871.53,7,4845,692.27,76,911,18,369.88,BENIGN
25513,1244,TCP,45.41,2,101,44.04,2223.83,2,101,50.9,40,60,0,22.7,PortScan
443,8080,UDP,3623.76,29,31403,8.0,8665.84,15,16243,1082.89,91,1554,24,124.96,BENIGN
8080,53,TCP,427.24,5,1553,11.7,3634.86,3,932,310.67,43,452,16,85.45,BENIGN
23558,53,UDP,801.64,34,32069,42.41,40003.7,15,14148,943.24,60,1412,16,23.58,BENIGN
13758,3178,TCP,5.29,1,53,188.78,10005.56,1,53,53.93,40,60,1,5.29,PortScan
53,443,TCP,1916.69,18,18876,9.39,9848.16,9,9438,1048.69,62,1651,16,106.48,BENIGN
53,22,TCP,748.0,26,6729,34.76,8995.92,13,3364,258.82,72,392,18,28.77,BENIGN
9872,166,TCP,26.0,2,116,76.89,4459.62,2,116,58.26,40,60,1,13.0,PortScan
53,443,TCP,1249.66,28,30492,22.41,24400.09,12,13068,1089.01,81,1482,24,44.63,BENIGN
1408,21,TCP,967.18,8,8775,8.27,9072.72,5,5484,1096.97,86,1730,24,120.9,BENIGN
19127,6687,TCP,7.37,2,100,270.84,13541.99,2,100,50.47,40,60,0,3.69,PortScan
443,22,TCP,314.92,27,13619,85.73,43244.24,13,6557,504.44,96,800,18,11.66,BENIGN
443,22,UDP,937.22,19,15457,20.27,16492.18,9,7322,813.57,90,1055,24,49.33,BENIGN
13712,8080,UDP,660.64,19,18083,28.76,27371.45,9,8565,951.77,51,1157,2,34.77,BENIGN
14069,80,TCP,2053.53,998,59204,485.99,28830.29,998,59204,59.32,40,120,2,0.6,DDoS
58541,80,TCP,1442.29,5,3993,3.47,2768.49,3,2396,798.76,79,988,16,288.46,BENIGN
7184,80,TCP,1014.29,4900,462127,4830.98,455618.06,4900,462127,94.31,40,120,2,1.18,DDoS
4183,3389,TCP,1293.0,70,16709,54.14,12922.68,35,8354,238.71,50,500,24,20.6,BruteForce
34559,53,TCP,691.59,17,6106,24.58,8828.82,9,3232,359.2,97,466,24,40.68,BENIGN
59171,443,TCP,3104.63,1993,200618,641.94,64618.96,1993,200618,100.66,40,120,2,0.53,DDoS
19374,3389,TCP,1069.16,80,31931,74.83,29865.54,40,15965,399.14,50,500,24,19.01,BruteForce
80,80,UDP,113.66,4,1911,35.19,16811.58,2,955,477.95,47,757,24,28.42,BENIGN
53,443,TCP,747.42,33,23221,44.15,31067.89,15,10555,703.68,50,1086,16,22.65,BENIGN
443,80,TCP,898.3,37,9501,41.19,10576.5,16,4108,256.8,53,343,18,24.28,BENIGN
8080,443,UDP,2304.31,48,21533,20.83,9344.64,29,13009,448.61,71,700,16,48.01,BENIGN
34106,443,TCP,4036.16,2020,205638,500.48,50948.96,2020,205638,101.8,40,120,2,1.08,DDoS
34748,80,TCP,4106.07,3005,121574,731.84,29608.39,3005,121574,40.46,40,120,2,0.75,DDoS
49467,2078,TCP,22.01,2,110,90.81,4994.43,2,110,55.37,40,60,2,11.01,PortScan
45788,80,TCP,1490.5,705,49210,473.0,33015.75,705,49210,69.8,40,120,2,0.2,DDoS
8080,443,TCP,329.74,7,2564,21.23,7775.49,5,1831,366.37,86,577,24,47.11,BENIGN
443,22,TCP,1156.89,24,21051,20.75,18195.98,14,12279,877.14,87,1084,24,48.2,BENIGN
40764,80,TCP,849.38,2656,213145,3126.97,250940.83,2656,213145,80.25,40,120,2,0.37,DDoS
21494,3389,TCP,1129.99,69,16017,61.06,14174.5,34,8008,232.14,50,500,24,6.09,BruteForce
52281,80,TCP,546.28,3859,322001,7064.14,589442.89,3859,322001,83.44,40,120,2,0.59,DDoS
80,53,TCP,958.42,29,31525,30.26,32892.48,14,15219,1087.09,80,1635,16,33.05,BENIGN
8080,80,UDP,5172.53,7,3606,1.35,697.14,4,2060,515.2,68,696,16,738.93,BENIGN
18656,3389,TCP,1050.82,54,20203,51.39,19225.97,27,10101,374.14,50,500,24,8.93,BruteForce
27371,21,TCP,559.6,52,18659,92.92,33343.5,26,9329,358.84,50,500,24,8.94,BruteForce
8080,8080,TCP,107.08,10,3534,93.38,33001.32,5,1767,353.47,96,560,24,10.71,BENIGN
17568,443,TCP,1477.54,4248,258134,2875.05,174705.37,4248,258134,60.77,40,120,2,0.15,DDoS
55959,443,TCP,4938.11,636,46594,128.79,9435.59,636,46594,73.26,40,120,2,0.7,DDoS
8080,21,TCP,135.8,18,17847,132.53,131406.7,9,8923,991.55,45,1517,16,7.54,BENIGN
80,21,TCP,1576.67,35,21154,22.2,13416.84,19,11483,604.41,77,742,2,45.05,BENIGN
2469,443,TCP,1333.72,2257,244525,1692.26,183341.05,2257,244525,108.34,40,120,2,0.79,DDoS
443,443,UDP,1584.96,44,38446,27.76,24256.62,21,18349,873.78,40,1227,24,36.02,BENIGN
50194,80,TCP,3633.93,948,53366,260.87,14685.46,948,53366,56.29,40,120,2,0.56,DDoS
80,443,TCP,2426.49,42,29017,17.31,11958.39,18,12435,690.89,70,1051,24,57.77,BENIGN
64232,22,TCP,4131.01,38,41127,9.2,9955.65,16,17316,1082.3,58,1381,18,108.71,BENIGN
62882,22,TCP,459.61,74,28661,161.01,62359.15,37,14330,387.32,50,500,24,22.59,BruteForce
80,80,TCP,1167.01,37,35429,31.7,30358.44,20,19151,957.55,73,1189,18,31.54,BENIGN
80,80,TCP,375.39,28,27488,74.59,73222.54,13,12762,981.74,97,1182,2,13.41,BENIGN
8080,443,TCP,579.32,44,31672,75.95,54670.17,24,17276,719.83,87,977,2,13.17,BENIGN
8080,80,TCP,1309.01,13,13705,9.93,10469.66,8,8433,1054.23,55,1271,16,100.69,BENIGN
443,443,TCP,262.63,24,6828,91.38,25997.4,13,3698,284.51,66,440,24,10.94,BENIGN
53,21,UDP,1256.61,23,19903,18.3,15838.49,10,8653,865.37,58,1039,16,54.64,BENIGN
19795,3389,TCP,613.39,28,9413,45.65,15345.74,14,4706,336.18,50,500,24,13.25,BruteForce
13347,80,TCP,665.37,36,14543,54.1,21856.72,17,6867,403.99,44,568,24,18.48,BENIGN
7159,5574,TCP,37.16,2,109,53.8,2932.29,2,109,54.54,40,60,1,18.58,PortScan
23442,443,TCP,2235.19,1594,90640,713.14,40551.38,1594,90640,56.86,40,120,2,0.42,DDoS
65065,80,UDP,1905.21,12,12582,6.3,6603.96,7,7339,1048.55,44,1375,24,158.77,BENIGN
15653,8387,TCP,16.41,1,45,60.89,2739.96,1,45,45.44,40,60,1,16.41,PortScan
1716,3389,TCP,1429.06,20,4615,14.0,3229.4,10,2307,230.77,50,500,24,24.75,BruteForce
23468,3389,TCP,1001.79,59,10746,58.89,10726.76,29,5373,182.15,50,500,24,16.48,BruteForce
39021,2238,TCP,29.31,2,115,68.2,3921.77,2,115,57.89,40,60,1,14.66,PortScan
53,22,UDP,972.97,25,10312,25.69,10598.33,14,5775,412.5,71,613,24,38.92,BENIGN
37308,80,TCP,3707.5,3075,172754,829.4,46595.83,3075,172754,56.18,40,120,2,0.54,DDoS
8080,443,TCP,289.82,34,33098,117.31,114196.29,20,19469,973.47,51,1283,18,8.52,BENIGN
1946,443,TCP,4206.95,3546,362199,842.89,86095.32,3546,362199,102.14,40,120,2,1.25,DDoS
80,21,TCP,56.93,18,13809,316.12,242516.88,10,7671,767.19,73,1037,18,3.16,BENIGN
8080,80,UDP,1891.31,31,32040,16.39,16940.53,14,14470,1033.57,78,1332,2,61.01,BENIGN
62646,443,TCP,2449.96,21,13196,8.57,5386.18,10,6284,628.42,63,869,18,116.66,BENIGN
4351,80,TCP,1063.49,4774,202427,4488.98,190341.72,4774,202427,42.4,40,120,2,1.36,DDoS
47206,80,TCP,3994.2,4145,428678,1037.75,107325.07,4145,428678,103.42,40,120,2,0.2,DDoS
40916,443,TCP,2618.9,946,80188,361.22,30618.93,946,80188,84.77,40,120,2,1.06,DDoS
53,21,TCP,930.2,13,10431,13.98,11213.62,6,4814,802.45,66,1151,2,71.55,BENIGN
22340,4604,TCP,15.16,2,83,131.86,5472.14,2,83,41.9,40,60,1,7.58,PortScan
15050,443,TCP,2546.44,3461,238789,1359.15,93773.68,3461,238789,68.99,40,120,2,1.31,DDoS
53,80,TCP,409.09,23,15878,56.22,38811.86,13,8974,690.36,85,833,2,17.79,BENIGN
5897,8636,TCP,47.44,1,52,21.08,1095.94,1,52,52.51,40,60,2,47.44,PortScan
42636,6332,TCP,39.54,2,97,50.57,2452.75,2,97,48.86,40,60,2,19.77,PortScan
17749,53,UDP,2534.72,43,18303,16.96,7220.88,23,9790,425.66,69,608,18,58.95,BENIGN
36464,80,TCP,2047.81,1826,75257,891.68,36750.0,1826,75257,41.21,40,120,2,0.91,DDoS
53,21,UDP,1026.38,11,6918,10.72,6740.12,7,4402,628.96,52,998,2,93.31,BENIGN
26616,6783,TCP,5.75,2,86,347.42,14939.21,2,86,43.19,40,60,0,2.87,PortScan
62521,21,TCP,798.62,94,20812,117.7,26060.06,47,10406,221.41,50,500,24,19.69,BruteForce
443,53,TCP,348.9,6,5661,17.2,16224.73,4,3774,943.59,77,1213,18,58.15,BENIGN
3254,443,TCP,1722.35,4172,410428,2422.27,238295.45,4172,410428,98.38,40,120,2,1.42,DDoS
30122,3347,TCP,36.02,2,103,55.51,2858.81,2,103,51.97,40,60,2,18.01,PortScan
26449,3389,TCP,549.34,93,26666,169.29,48541.88,46,13333,286.73,50,500,24,14.5,BruteForce
443,443,TCP,1021.85,49,36964,47.95,36173.38,22,16596,754.39,61,1141,2,20.85,BENIGN
34711,443,TCP,3677.71,4339,388609,1179.81,105665.93,4339,388609,89.56,40,120,2,0.89,DDoS
45278,443,TCP,2041.9,2930,348489,1434.94,170668.72,2930,348489,118.94,40,120,2,0.48,DDoS
9590,80,TCP,3648.38,1819,189585,498.58,51964.19,1819,189585,104.22,40,120,2,1.45,DDoS
18393,4486,TCP,12.25,2,104,163.07,8479.52,2,104,52.38,40,60,2,6.13,PortScan
53,53,TCP,142.32,42,33010,295.1,231933.76,25,19649,785.97,91,1084,18,3.39,BENIGN
6822,3389,TCP,1050.78,28,4347,26.65,4136.92,14,2173,155.26,50,500,24,21.39,BruteForce
20152,21,TCP,168.67,33,32007,195.64,189753.07,18,17458,969.91,68,1201,2,5.11,BENIGN
53,21,TCP,239.28,15,16319,62.69,68197.75,7,7615,1088.0,69,1574,2,15.95,BENIGN
80,22,TCP,105.07,14,4456,133.23,42406.29,7,2228,318.34,63,435,2,7.5,BENIGN
80,443,TCP,1246.1,14,3361,11.23,2697.2,7,1680,240.11,58,361,2,89.01,BENIGN
46280,8714,TCP,8.67,2,113,230.36,13015.52,2,113,56.84,40,60,1,4.34,PortScan
51150,443,TCP,3345.07,1483,73151,443.34,21868.29,1483,73151,49.33,40,120,2,0.87,DDoS
34296,443,TCP,4294.97,3046,152881,709.2,35595.38,3046,152881,50.19,40,120,2,0.5,DDoS
443,443,TCP,1825.77,15,14021,8.22,7679.46,9,8412,934.75,45,1417,18,121.72,BENIGN
443,22,TCP,500.25,18,14898,35.98,29780.41,9,7449,827.68,95,1314,16,27.79,BENIGN
48917,443,TCP,4231.91,4606,391844,1088.4,92592.62,4606,391844,85.07,40,120,2,1.23,DDoS
29374,22,TCP,1330.44,46,15928,34.58,11972.0,23,7964,346.27,50,500,24,10.47,BruteForce
8681,80,TCP,3718.34,725,55589,194.98,14949.95,725,55589,76.67,40,120,2,1.12,DDoS
80,80,UDP,548.2,13,10156,23.71,18525.81,7,5468,781.24,60,959,24,42.17,BENIGN
54331,4674,TCP,24.19,2,108,82.65,4463.19,2,108,54.49,40,60,0,12.09,PortScan
80,443,TCP,736.19,35,16239,47.54,22057.74,20,9279,463.98,71,621,24,21.03,BENIGN
45989,80,TCP,2505.21,17,11276,6.79,4501.01,9,5970,663.34,75,839,16,147.37,BENIGN
53,21,TCP,2153.33,32,14706,14.86,6829.4,19,8731,459.56,63,622,2,67.29,BENIGN
57572,21,TCP,1041.52,58,22946,55.69,22031.31,29,11473,395.63,50,500,24,6.72,BruteForce
36086,80,TCP,2259.65,646,43187,285.89,19112.27,646,43187,66.85,40,120,2,1.15,DDoS
10314,22,TCP,1111.33,30,7275,26.99,6546.23,15,3637,242.51,50,500,24,16.01,BruteForce
80,22,TCP,1198.07,19,14785,15.86,12340.58,8,6225,778.18,75,1226,2,63.06,BENIGN
8080,443,UDP,899.83,42,15700,46.67,17447.46,18,6728,373.82,59,532,2,21.42,BENIGN
56595,443,TCP,801.57,4356,471335,5434.31,588011.53,4356,471335,108.2,40,120,2,1.41,DDoS
443,443,TCP,2172.06,32,32547,14.73,14984.31,19,19325,1017.11,97,1432,24,67.88,BENIGN
53,443,TCP,1345.64,35,9164,26.01,6810.09,17,4451,261.84,44,368,18,38.45,BENIGN
39913,80,TCP,2775.35,3354,196352,1208.49,70748.46,3354,196352,58.54,40,120,2,0.55,DDoS
27049,22,TCP,834.46,74,15676,88.68,18785.72,37,7838,211.85,50,500,24,22.33,BruteForce
29730,22,TCP,323.15,10,6163,30.94,19070.95,6,3698,616.36,83,922,2,32.32,BENIGN
23427,3389,TCP,374.45,64,18452,170.92,49277.65,32,9226,288.32,50,500,24,15.41,BruteForce
33004,7416,TCP,23.82,1,55,41.97,2308.35,1,55,55.94,40,60,0,23.82,PortScan
15143,443,TCP,2478.83,2603,136516,1050.09,55072.71,2603,136516,52.45,40,120,2,0.39,DDoS
47570,22,TCP,907.12,97,16031,106.93,17672.45,48,8015,165.28,50,500,24,14.99,BruteForce
8080,8080,TCP,5322.88,27,18602,5.07,3494.72,14,9645,688.97,75,834,24,197.14,BENIGN
43838,3389,TCP,824.46,74,25574,89.76,31019.02,37,12787,345.61,50,500,24,24.85,BruteForce
32805,22,TCP,296.43,24,20930,80.96,70603.75,14,12209,872.1,89,1202,2,12.35,BENIGN
8080,22,UDP,872.83,6,3805,6.87,4359.33,4,2537,634.25,63,991,18,145.47,BENIGN
13972,4060,TCP,44.29,2,106,45.15,2393.0,2,106,53.14,40,60,1,22.14,PortScan
22778,443,TCP,3978.06,16,16080,4.02,4042.16,10,10050,1005.03,43,1560,24,248.63,BENIGN
12111,4536,TCP,40.65,1,56,24.6,1377.32,1,56,56.75,40,60,0,40.65,PortScan
53,53,TCP,1134.79,40,14427,35.25,12713.29,22,7935,360.69,54,447,2,28.37,BENIGN
8080,21,UDP,772.47,6,1420,7.77,1838.23,3,710,236.68,66,352,2,128.75,BENIGN
57534,53,TCP,679.72,17,17225,25.01,25340.96,8,8105,1013.25,88,1239,16,39.98,BENIGN
51381,80,TCP,802.65,3235,343337,4030.39,427753.45,3235,343337,106.13,40,120,2,1.36,DDoS
24407,80,TCP,1994.93,1973,184336,989.01,92402.47,1973,184336,93.43,40,120,2,1.41,DDoS
53,8080,UDP,232.5,17,7885,73.12,33912.82,10,4638,463.83,40,572,16,13.68,BENIGN
52783,443,TCP,801.38,3081,241368,3844.61,301189.98,3081,241368,78.34,40,120,2,0.35,DDoS
80,80,TCP,113.95,12,6129,105.3,53782.78,6,3064,510.81,98,787,16,9.5,BENIGN
80,443,TCP,678.17,33,7327,48.66,10803.88,16,3552,222.05,72,322,18,20.55,BENIGN
8080,22,TCP,807.68,4,4004,4.95,4957.34,2,2002,1001.19,62,1224,24,201.92,BENIGN
46663,22,TCP,1397.27,36,33890,25.76,24254.28,22,20711,941.41,89,1130,16,38.81,BENIGN
5502,80,TCP,2490.32,1072,76260,430.47,30622.54,1072,76260,71.14,40,120,2,0.42,DDoS
443,8080,TCP,528.88,28,19481,52.94,36834.08,12,8349,695.77,64,938,2,18.89,BENIGN
53,8080,UDP,517.26,38,13534,73.46,26164.06,21,7479,356.17,60,566,2,13.61,BENIGN
8080,21,UDP,1402.35,49,10360,34.94,7387.55,30,6343,211.44,80,280,16,28.62,BENIGN
64424,80,TCP,1481.93,3309,270531,2232.89,182552.68,3309,270531,81.76,40,120,2,0.92,DDoS
80,80,TCP,257.83,18,15172,69.81,58842.23,9,7586,842.89,95,1245,16,14.32,BENIGN
8080,22,TCP,196.51,12,12223,61.06,62197.13,7,7130,1018.66,89,1580,18,16.38,BENIGN
47854,80,TCP,4880.22,1730,186478,354.49,38210.97,1730,186478,107.79,40,120,2,0.19,DDoS
59765,8746,TCP,16.3,2,85,122.63,5211.97,2,85,42.62,40,60,0,8.15,PortScan
27538,1940,TCP,29.78,2,117,67.14,3927.51,2,117,58.8,40,60,2,14.89,PortScan
58552,4564,TCP,36.56,1,54,27.34,1476.53,1,54,54.68,40,60,0,36.56,PortScan
29831,4888,TCP,48.59,1,59,20.58,1213.98,1,59,59.16,40,60,2,48.59,PortScan
34391,22,TCP,1470.22,73,16997,49.65,11560.89,36,8498,232.84,50,500,24,18.51,BruteForce
29152,443,TCP,1795.75,3714,430794,2068.21,239895.88,3714,430794,115.99,40,120,2,0.29,DDoS
80,53,UDP,1528.69,46,19081,30.09,12481.81,27,11200,414.82,46,613,2,33.23,BENIGN
45618,80,TCP,4915.03,2717,264114,552.79,53735.98,2717,264114,97.21,40,120,2,0.93,DDoS
26030,8431,TCP,6.81,2,94,293.19,13779.74,2,94,47.28,40,60,1,3.41,PortScan
39108,423,TCP,37.92,1,57,26.37,1502.87,1,57,57.87,40,60,1,37.92,PortScan
80,443,TCP,699.52,10,8153,14.3,11654.95,6,4892,815.38,98,1052,2,69.95,BENIGN
8080,80,TCP,428.98,37,9482,86.25,22103.13,19,4869,256.27,83,369,16,11.59,BENIGN
8080,22,TCP,300.08,29,15933,96.64,53093.19,13,7142,549.44,55,738,2,10.35,BENIGN
8080,21,TCP,430.86,34,20562,78.91,47721.81,19,11490,604.77,43,843,2,12.67,BENIGN
34363,22,TCP,279.03,39,10181,139.76,36485.22,18,4698,261.05,82,320,24,7.15,BENIGN
6233,22,TCP,772.96,63,10084,81.5,13045.9,31,5042,160.07,50,500,24,13.11,BruteForce
65060,4539,TCP,49.13,1,44,20.35,895.48,1,44,44.53,40,60,1,49.13,PortScan
8080,22,UDP,2555.99,32,9443,12.52,3694.45,17,5016,295.1,52,427,2,79.87,BENIGN
43766,22,TCP,636.4,81,19268,127.28,30276.47,40,9634,237.89,50,500,24,17.21,BruteForce
56707,80,TCP,3305.65,3485,360375,1054.26,109017.89,3485,360375,103.41,40,120,2,0.98,DDoS
6626,21,TCP,783.29,73,12029,93.2,15357.07,36,6014,164.79,50,500,24,17.66,BruteForce
80,443,TCP,5119.4,26,23916,5.08,4671.63,13,11958,919.87,41,1202,2,196.9,BENIGN
58138,269,TCP,25.66,1,44,38.96,1714.02,1,44,44.08,40,60,0,25.66,PortScan
5910,443,TCP,4813.24,883,74125,183.45,15400.23,883,74125,83.95,40,120,2,0.85,DDoS
52652,22,TCP,1334.0,35,10473,26.24,7850.84,17,5236,299.24,50,500,24,21.2,BruteForce
443,22,TCP,2215.67,49,20467,22.12,9237.35,29,12113,417.7,90,619,24,45.22,BENIGN
8080,22,TCP,1018.15,37,13005,36.34,12773.07,17,5975,351.5,90,471,24,27.52,BENIGN
23724,22,TCP,3152.63,40,17107,12.69,5426.25,22,9409,427.69,44,541,18,78.82,BENIGN
4153,443,TCP,4643.33,4704,543656,1013.07,117083.25,4704,543656,115.57,40,120,2,0.95,DDoS
63071,7755,TCP,42.34,2,97,47.23,2290.57,2,97,48.88,40,60,2,21.17,PortScan
443,21,TCP,778.68,45,35104,57.79,45080.85,24,18722,780.09,61,1111,18,17.3,BENIGN
11778,8080,UDP,74.28,23,23788,309.62,320223.91,12,12411,1034.3,90,1456,24,3.23,BENIGN
57523,3196,TCP,39.16,1,46,25.53,1174.4,1,46,46.69,40,60,1,39.16,PortScan
53710,22,TCP,1087.08,42,9607,38.64,8837.4,21,4803,228.75,50,500,24,9.49,BruteForce
58708,3399,TCP,5.73,2,90,348.49,15682.13,2,90,45.07,40,60,2,2.86,PortScan
19281,9108,TCP,34.54,1,47,28.95,1360.45,1,47,47.21,40,60,0,34.54,PortScan
7500,80,TCP,4951.48,1031,123487,208.22,24939.41,1031,123487,119.77,40,120,2,0.88,DDoS
80,22,TCP,1573.96,24,15960,15.25,10139.94,14,9310,665.03,56,891,16,65.58,BENIGN
45065,80,TCP,4569.62,1528,75152,334.38,16446.01,1528,75152,49.18,40,120,2,1.42,DDoS
80,8080,TCP,1333.11,4,3584,3.0,2688.43,2,1792,896.13,98,1238,16,333.28,BENIGN
443,53,TCP,435.58,22,21253,50.51,48791.37,12,11592,966.06,88,1455,24,19.8,BENIGN
8080,21,UDP,1331.0,30,24545,22.54,18440.83,13,10636,818.17,41,1251,24,44.37,BENIGN
8080,53,TCP,676.41,29,19438,42.87,28736.43,13,8713,670.29,67,1050,16,23.32,BENIGN
6901,6786,TCP,7.78,1,54,128.29,6927.65,1,54,54.19,40,60,1,7.78,PortScan
53,22,UDP,928.47,9,9205,9.69,9914.06,6,6136,1022.81,46,1288,2,103.16,BENIGN
8080,443,TCP,571.75,7,2355,12.24,4118.83,5,1682,336.44,72,441,16,81.68,BENIGN
64898,8080,TCP,3093.66,6,2201,1.94,711.45,3,1100,366.91,40,528,24,515.61,BENIGN
20197,443,TCP,4645.88,2110,184471,454.17,39706.33,2110,184471,87.43,40,120,2,0.6,DDoS
1970,21,TCP,764.73,66,20071,86.31,26245.89,33,10035,304.11,50,500,24,14.15,BruteForce
53,80,UDP,1655.04,34,15873,20.54,9590.63,16,7470,466.88,86,683,2,48.68,BENIGN
61435,80,TCP,1500.63,2236,127343,1490.04,84859.93,2236,127343,56.95,40,120,2,0.54,DDoS
53,21,TCP,64.13,15,6983,233.86,108869.85,8,3724,465.54,74,566,18,4.28,BENIGN
53,80,UDP,894.34,19,20701,21.24,23146.46,10,10895,1089.57,47,1623,24,47.07,BENIGN
24262,5506,TCP,32.11,2,84,62.26,2615.1,2,84,42.06,40,60,0,16.06,PortScan
53,53,UDP,568.25,32,7482,56.31,13166.41,16,3741,233.84,74,306,18,17.76,BENIGN
8080,443,TCP,411.7,38,33531,92.3,81442.34,21,18530,882.41,49,1346,24,10.83,BENIGN
48788,443,TCP,2031.85,3483,202499,1714.2,99662.28,3483,202499,58.14,40,120,2,1.04,DDoS
53,21,TCP,826.52,4,2776,4.84,3358.63,2,1388,694.08,42,892,16,206.63,BENIGN
9050,443,TCP,1479.5,1585,170206,1071.31,115042.66,1585,170206,107.39,40,120,2,0.62,DDoS
41196,80,TCP,4376.81,3281,369529,749.63,84428.81,3281,369529,112.63,40,120,2,0.81,DDoS
53,80,TCP,1005.12,37,10121,36.81,10069.38,19,5197,273.55,69,346,24,27.17,BENIGN
53114,22,TCP,517.47,56,18088,108.22,34954.64,28,9044,323.01,50,500,24,7.8,BruteForce
47442,9823,TCP,26.05,2,97,76.76,3722.8,2,97,48.69,40,60,0,13.02,PortScan
5322,4669,TCP,40.1,2,103,49.86,2567.97,2,103,51.54,40,60,1,20.05,PortScan
32981,53,TCP,3192.57,18,8152,5.64,2553.42,10,4529,452.93,40,617,24,177.37,BENIGN
49198,2932,TCP,29.59,2,111,67.57,3749.92,2,111,55.53,40,60,0,14.8,PortScan
30793,22,TCP,1212.01,21,6722,17.33,5546.17,10,3361,320.12,50,500,24,23.63,BruteForce
63241,22,TCP,764.05,25,6156,32.72,8057.08,12,3078,246.28,50,500,24,22.1,BruteForce
6084,5875,TCP,31.71,1,40,31.53,1261.2,1,40,40.85,40,60,2,31.71,PortScan
53,53,TCP,1561.29,30,15333,19.21,9820.64,14,7155,511.13,94,732,2,52.04,BENIGN
53,53,TCP,2011.13,23,24923,11.44,12392.45,13,14087,1083.62,73,1572,18,87.44,BENIGN
53,80,TCP,1404.32,22,23029,15.67,16398.6,13,13608,1046.79,80,1497,24,63.83,BENIGN
58086,6383,TCP,40.57,2,106,49.28,2611.9,2,106,53.46,40,60,0,20.29,PortScan
80,22,TCP,1019.88,25,21425,24.51,21007.24,11,9427,857.04,73,1082,24,40.8,BENIGN
